,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,138,122,274,139,138,132,98,110,117,237,154,111,134,87
1,3,0,1,0,22,32,0,0,8,3,7,20,25,11
2,60,97,202,160,322,456,431,165,128,122,146,112,610,435
3,1140,1164,2282,1155,1885,2344,1323,795,779,1175,1057,2916,1047,942
4,5691,3105,4675,5535,4827,2837,6066,2906,2804,3605,6137,4247,3766,4405
5,5428,3373,3392,7498,5200,4931,10791,3502,3399,3203,6450,4548,7564,10581
6,6839,4162,3153,8574,7211,6511,15344,4700,4305,2782,8500,6949,9724,13048
7,7642,4100,3115,10007,7417,8901,15034,4287,4032,2815,9753,8295,10207,13653
8,8660,3928,3523,11651,10178,12135,18681,4063,3864,3277,12236,9057,13687,17064
9,14266,4884,5161,25119,19782,27390,35330,5475,5607,5097,22763,17698,28283,34357
10,47759,8739,9261,87898,63722,104364,119172,13024,12294,8244,85827,62135,108405,121538
11,156,124,339,134,118,115,48,115,125,292,142,116,124,43
