,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0,17,550,2864,2701,3416,3821,4340,7130,23896,156
1,0,0,46,568,1524,1689,2052,2049,1970,2457,4420,124
2,0,0,82,1152,2398,1702,1569,1555,1739,2564,4589,339
3,0,0,66,565,2800,3750,4306,4995,5813,12565,43941,134
4,0,11,171,965,2420,2598,3598,3706,5074,9886,31864,118
5,0,16,245,1201,1419,2458,3249,4449,6064,13684,52174,115
6,0,0,241,668,3027,5399,7676,7507,9348,17656,59589,48
7,0,0,75,383,1401,1720,2361,2164,2065,2757,6530,115
8,0,3,52,372,1368,1673,2152,2042,1948,2827,6169,125
9,0,1,51,557,1801,1653,1415,1383,1636,2529,4108,292
10,0,4,68,526,3106,3233,4238,4877,6114,11381,42897,142
11,0,10,46,1481,2137,2274,3468,4153,4519,8837,31061,116
12,0,14,322,538,1859,3794,4860,5104,6842,14141,54190,124
13,0,7,241,476,2179,5286,6541,6824,8530,17192,60763,43
